FlowlinePressure,DischargePressure,MotorFrequency,CurrentPhaseA,IntakePressure,IntakeTemperature,MotorTemperature,UpstreamPressure,FlowlineTemperature,WellHeadTemperature,wtOil,wtWater,wtGas
264.36383,3481.2449,59.95,44.91577,2345.9407,93.5,118.37137,599.94604,0,0,4030.012,0,2.6311948
265.78262,3481.4155,59.94975,44.91495,2345.9001,93.5,118.37228,604.98596,0,0,4011.7651,0,2.6192815
265.57486,3481.4844,59.949493,44.9107,2345.937,93.5,118.391426,605.6665,0,0,4077.9043,0,2.662464
266.52234,3481.208,59.949776,44.817432,2346.843,93.5,118.237946,589.74207,0,0,4083.9907,0,2.6664376
263.95526,3481.294,59.947834,44.78026,2347.3752,93.5,118.22667,600.0588,0,0,4089.9517,0,2.6703296
266.1905,3481.4307,59.948112,44.77133,2347.3616,93.5,118.220276,592.84,0,0,4012.2715,0,2.619612
266.91013,3481.5544,59.949013,44.77388,2347.3635,93.5,118.241714,586.61017,0,0,4016.7024,0,2.622505
269.08865,3481.543,59.946938,44.748928,2347.3574,93.5,118.22078,598.52783,0,0,3986.983,0,2.6031013
242.5754,3481.5693,59.94892,44.74262,2347.3542,93.5,118.21548,606.60706,0,0,3799.1084,0,2.480438
223.92616,3481.593,59.94823,44.7264,2347.3635,93.5,118.173744,606.874,0,0,4056.6965,0,2.6486173
223.22636,3481.69,59.947826,44.735752,2347.3694,93.5,118.151054,607.00104,0,0,4097.3716,0,2.675174
222.74757,3481.8564,59.948147,44.710175,2347.3577,93.5,118.15395,605.9048,0,0,4323.0166,0,2.8224976
222.8394,3481.994,59.947655,44.71017,2347.3713,93.5,118.17282,606.8898,0,0,3903.0571,39.4248,2.5483062
223.54639,3482.3242,59.947575,44.742996,2347.3738,93.5,118.16186,606.963,0,0,3829.2349,38.6791,2.5001075
223.24486,3482.8186,59.94731,44.720707,2347.3594,93.5,118.129814,606.9592,0,0,3864.8164,39.0385,2.5233388
223.78146,3482.9048,59.947136,44.71483,2347.3677,93.5,118.10443,606.822,0,0,3666.1707,37.032,2.393643
223.02997,3478.7097,59.839527,44.650036,2345.581,92.69396,117.50027,604.0763,0,0,3816.8225,38.5537,2.4920037
223.13687,3483.0168,59.95,44.73941,2347.3545,93.5,118.14454,553.7444,0,0,3928.1016,39.6777,2.5646574
223.10774,3483.066,59.94956,44.740902,2347.342,93.5,118.133804,601.6871,0,0,3845.8364,38.8468,2.5109468
223.06541,3483.186,59.948437,44.743626,2347.3599,93.5,118.10238,569.46747,0,0,3927.1934,39.6686,2.5640647
210.60567,3101.1946,55.988514,42.136177,2390.779,93.53545,108.07279,466.16858,0,0,4065.1602,41.0622,2.654143
222.09953,3489.0066,59.948303,44.8991,2359.006,93.5,118.08473,597.5347,0,0,3885.7307,39.2498,2.5369937
222.38672,3486.7856,59.94864,44.894604,2355.2852,93.5,118.149055,605.1955,0,0,3857.8877,38.9685,2.518815
222.65517,3486.0198,59.948387,44.888607,2354.2861,93.5,118.19608,604.0209,0,0,3691.6106,37.2889,2.4102528
222.83737,3485.8767,59.947216,44.882015,2353.1543,93.5,118.22151,603.25684,0,0,3706.8455,37.4428,2.4201996
222.366,3485.6367,59.948128,44.88541,2353.1655,93.5,118.16847,606.5291,0,0,3725.528,37.6315,2.4323974
222.42007,3485.7031,59.948288,44.873665,2352.445,93.5,118.14456,606.54047,0,0,3725.1655,37.6279,2.4321606
222.42664,3485.8716,59.94762,44.871365,2351.7417,93.5,118.13311,605.9805,0,0,3724.0447,37.6166,2.431429
222.32878,3485.912,59.94781,44.855892,2351.7441,93.5,118.10329,601.3557,0,0,3731.2646,37.6895,2.436143
222.50471,3485.931,59.947926,44.84235,2351.7083,93.463806,118.009895,598.01514,0,0,3397.4143,34.3173,2.2181718
222.18706,3485.992,59.94902,44.841705,2351.736,93.4,118.04557,600.7109,0,0,4128.5215,41.7022,2.6955118
222.69452,3485.958,59.949875,44.82638,2351.7341,93.37191,118.055,590.5893,0,0,3651.309,36.8819,2.3839397
222.90244,3486.0178,59.949688,44.82918,2351.7275,93.34568,118.072815,601.63403,0,0,3834.2456,38.7297,2.503379
223.28114,3486.1257,59.94895,44.833187,2351.715,93.3072,118.029816,605.102,0,0,3878.0408,39.1721,2.531973
223.26154,3486.32,59.946045,44.826954,2351.735,93.3,118.07007,606.1694,0,0,3795.2922,38.3362,2.4779463
223.15123,3486.701,59.947956,44.819305,2351.718,93.3,118.06437,606.0689,0,0,3700.241,37.3761,2.4158874
223.15778,3486.836,59.95,44.824062,2351.7263,93.3,118.05815,603.05896,0,0,3730.3218,37.68,2.435527
223.10631,3487.098,59.94911,44.8262,2351.7402,93.3,118.0648,581.2886,0,0,3791.701,38.3,2.4756017
222.34549,3487.2249,59.94857,44.811974,2351.7295,93.3,118.04026,605.8079,0,0,3793.1462,38.3146,2.4765453
222.24387,3487.306,59.94946,44.801136,2351.727,93.3,118.04487,605.8258,0,0,3747.3164,37.8516,2.4466228
221.90677,3487.3438,59.94799,44.791637,2351.7236,93.3,118.037735,605.7325,0,0,3862.2583,39.0127,2.5216687
223.37082,3487.3582,59.946774,44.785248,2351.7305,93.3,118.04405,605.8085,0,0,3598.9358,36.3528,2.3497453
223.57686,3487.4492,59.948616,44.78721,2351.7168,93.3,117.97439,605.7384,0,0,3779.9263,38.181,2.4679139
223.62248,3487.454,59.950066,44.802795,2351.7244,93.3,117.93699,603.95996,0,0,3864.7017,39.0373,2.523264
224.23933,3487.6287,59.95038,44.80634,2351.7295,93.3,117.94799,605.56775,0,0,3915.4463,39.5499,2.556395
280.31067,3179.3271,55.757847,41.19522,2409.9355,93.69062,108.82156,537.26355,0,0,3937.8975,39.7767,2.5710533
263.51624,3073.042,52.85,38.939365,2430.8574,93.825,104.85475,494.64746,0,0,3870.8967,39.0999,2.5273085
223.8718,3488.6458,59.948944,44.473976,2366.9304,93.33363,117.55642,603.3396,0,0,3900.3767,39.3977,2.546556
223.76558,3485.9631,59.94907,44.463207,2362.5408,93.3,117.58911,604.01526,0,0,3848.835,38.8771,2.5129044
223.19124,3485.2751,59.948784,44.45802,2361.4424,93.3,117.61826,604.0036,0,0,3795.3987,38.3373,2.478016
219.35185,3394.3845,58.908722,42.6377,2367.2285,91.540955,117.79327,571.09296,0,0,3851.9402,38.9084,2.514932
223.67497,3486.9658,59.949196,44.466682,2362.4924,93.3,117.48311,604.14386,0,0,3870.8743,39.0997,2.527294
223.27835,3485.9543,59.9494,44.459785,2360.9934,93.3,117.49774,603.99615,0,0,4088.5972,41.2989,2.6694453
221.87982,3485.6218,59.94888,44.4508,2360.4348,93.3,117.5623,603.80817,0,0,3845.6575,38.845,2.51083
221.14319,3485.1914,59.949574,44.446125,2359.807,93.3,117.66684,603.6733,0,0,3919.536,39.5912,2.559065
