FlowlinePressure,DischargePressure,MotorFrequency,CurrentPhaseA,IntakePressure,IntakeTemperature,MotorTemperature,UpstreamPressure,FlowlineTemperature,WellHeadTemperature,wtOil,wtWater,wtGas
201.71582,4676.849,55,66.1005,3079.2405,96.899994,124.97956,294.42688,79.24827,0,2195.3408,4665.099,1.6085262
201.13695,4674.7007,55,66.05536,3081.1074,96.899994,123.666664,297.00266,76.68492,0,2164.7415,4600.0757,1.5861061
201.59073,4676.563,55,66.042404,3083.3064,96.899994,123.67727,298.22815,78.59008,0,2156.1477,4581.814,1.5798094
203.31427,4678.124,55,65.99494,3084.9087,96.899994,123.7,299.84967,78.61082,0,2182.0962,4636.9546,1.5988219
200.60051,4711.0674,49.377438,65.60828,3106.7214,96.30915,123.74534,280.1144,77.24324,0,2179.718,4631.9004,1.5970794
201.10062,4676.966,55,66.008446,3084.6206,96.9,123.649704,300.05667,78.32248,0,2159.7327,4589.4316,1.5824361
204.10555,4679.324,55,65.99935,3088.6707,96.9,123.601585,303.3289,79.90671,0,2188.3757,4650.2983,1.6034229
202.9321,4680.4185,55,66.000206,3090.4631,96.9,123.6,253.31868,60.199398,0,2260.0896,4802.6904,1.6559677
201.4,4681.5,55,66.20416,3090.3,96.9,123.6,180.8039,35.48144,0,2539.025,5395.4277,1.8603436
17.982143,417.99106,4.910714,5.911086,325.29474,10.2,13.010526,199.0343,83.1049,0,2152.1997,4573.4243,1.5769167
0,0,0,0,0,0,0,250.72098,79.34827,0,2185.5715,4644.3394,1.6013683
0,0,0,0,0,0,0,270.2948,79.90018,0,2229.4526,4737.587,1.6335199
0,0,0,0,0,0,0,279.08044,79.98278,0,2280.1208,4845.257,1.6706445
0,0,0,0,0,0,0,283.58643,80.587265,0,2166.3057,4603.3994,1.5872523
0,0,0,0,0,0,0,287.3889,77.40515,0,2188.3228,4650.186,1.6033841
0,0,0,0,0,0,0,290.71423,77.806404,0,2192.28,4658.5947,1.6062835
0,0,0,0,0,0,0,290.02893,79.77094,0,2186.642,4646.6143,1.6021526
0,0,0,0,0,0,0,294.50192,76.97252,0,2119.2188,4503.34,1.5527517
0,0,0,0,0,0,0,290.12744,76.89443,0,2176.0737,4624.1567,1.5944092
0,0,0,0,0,0,0,282.26166,78.9306,0,2306.9712,4902.314,1.6903179
0,0,0,0,0,0,0,292.5379,80.77111,0,2228.8696,4736.3477,1.6330928
0,0,0,0,0,0,0,303.42722,80.4459,0,2117.0515,4498.7344,1.5511637
0,0,0,0,0,0,0,306.5555,80.05217,0,2083.1921,4426.783,1.5263548
0,0,0,0,0,0,0,306.61914,80.360344,0,2093.436,4448.5513,1.5338606
0,0,0,0,0,0,0,306.64075,78.64261,0,2118.7654,4502.3765,1.5524194
0,0,0,0,0,0,0,306.99493,79.364426,0,2135.9253,4538.8413,1.5649925
0,0,0,0,0,0,0,307.66913,79.7785,0,2114.123,4492.5117,1.549018
0,0,0,0,0,0,0,309.01794,79.73029,0,2109.3767,4482.4253,1.5455402
0,0,0,0,0,0,0,310.0704,78.91343,0,2151.7114,4572.3867,1.576559
0,0,0,0,0,0,0,309.84946,77.95649,0,1925.2548,4492.261,1.4106343
0,0,0,0,0,0,0,254.65617,71.016396,0,1942.0266,4531.3955,1.422923
0,0,0,0,0,0,0,310.67166,80.70373,0,2004.4976,4677.1606,1.4686954
0,0,0,0,0,0,0,311.07214,80.598915,0,2047.9005,4778.4346,1.5004967
0,0,0,0,0,0,0,308.48648,79.02549,0,2028.9539,4734.2256,1.4866145
0,0,0,0,0,0,0,315.37,78.474785,0,2037.1631,4753.3804,1.4926294
0,0,0,0,0,0,0,317.8471,79.07299,0,1940.6613,4528.2095,1.4219224
0,0,0,0,0,0,0,320.4546,79.7349,0,1933.6213,4511.783,1.4167644
0,0,0,0,0,0,0,321.3991,81.53743,0,1937.7733,4521.4707,1.4198065
0,0,0,0,0,0,0,321.51675,79.821434,0,1947.9486,4545.2134,1.427262
0,0,0,0,0,0,0,322.9665,79.357285,0,1942.6406,4532.828,1.4233727
0,0,0,0,0,0,0,323.0478,78.69743,0,1958.6337,4570.1455,1.4350909
0,0,0,0,0,0,0,323.62317,79.34231,0,1971.9102,4601.1235,1.4448186
0,0,0,0,0,0,0,326.50497,81.053696,0,1968.5151,4593.202,1.4423311
0,0,0,0,0,0,0,326.79193,81.5909,0,2027.7291,4731.368,1.4857172
0,0,0,0,0,0,0,328.2748,79.74397,0,1901.0349,4435.748,1.3928883
0,0,1.2189189,0.053121902,0,0,0,329.62524,80.24142,0,1791.4231,4179.9873,1.3125758
0,0,0,0,0,0,0,330.51944,81.20321,0,1507.8608,3518.3418,1.1048096
