FlowlinePressure,DischargePressure,MotorFrequency,CurrentPhaseA,IntakePressure,IntakeTemperature,MotorTemperature,UpstreamPressure,FlowlineTemperature,WellHeadTemperature,wtOil,wtWater,wtGas,Fw,GasLiquidRatio
222.22975,4437.745,52.74091,57.81743,2970.4424,103.716576,115.88299,348.44675,0,0,2159.3489,3377.443,1.2260783,0.61,0.000221442
211.34105,4168.383,44.756977,55.558353,3017.0156,103.19901,114.23257,337.81223,0,0,2170.2568,3394.5044,1.2322718,0.61,0.000221442
219.34622,4426.979,57,58.160095,2962.0073,103.746994,116.01773,364.4307,0,0,2099.2915,3283.5073,1.1919777,0.61,0.000221442
220.86852,4405.9785,57,57.8739,2960.206,103.74423,115.98788,372.53113,0,0,2114.9502,3307.999,1.2008687,0.61,0.000221442
221.31523,4402.225,57,57.76819,2960.227,103.71374,115.96452,376.84512,0,0,2111.7166,3302.9412,1.1990327,0.61,0.00022144201
221.82877,4402.815,57,57.73185,2960.5483,103.71118,115.962776,380.3389,0,0,2100.98,3286.1482,1.1929364,0.61,0.00022144201
222.77373,4405.5195,57,57.71439,2961.269,103.717964,115.94264,384.26086,0,0,2006.1405,3137.8096,1.1390866,0.61,0.000221442
218.07266,4373.059,52.672028,57.434498,2934.685,101.37693,114.36246,297.87506,0,0,2068.735,3235.714,1.1746278,0.61,0.000221442
221.98198,4416.848,57,57.855152,2960.0461,103.732216,116.01934,0,0,0,2086.7468,3263.886,1.1848549,0.61,0.00022144201
225.87527,4410.0093,57,57.77461,2960.7217,103.717995,115.98245,0,0,0,2088.0898,3265.9868,1.1856174,0.61,0.000221442
226.45131,4408.7466,56.387096,57.708008,2960.8958,103.72887,115.99397,0,0,0,2085.4656,3261.882,1.1841273,0.61,0.000221442
161.16035,3345.9824,25.160713,42.273094,2337.1252,63.03611,83.80666,205.15114,0,0,2182.9849,3414.412,1.2394987,0.61,0.000221442
185.65694,3696.7864,27.307692,49.963024,2625.6235,75.06,98.800804,242.56686,0,0,2124.607,3323.1033,1.2063519,0.61,0.00022144201
220.17091,4457.07,57,58.313953,2976.6968,103.77054,116.09563,372.19986,0,0,1983.4097,3102.256,1.1261799,0.60999995,0.00022144198
220.1814,4426.754,57,57.979145,2967.3386,103.750755,116.09739,380.6149,0,0,2010.988,3145.3916,1.141839,0.60999995,0.000221442
226.18439,4416.2754,57,57.872322,2964.2703,103.7477,116.062546,382.4497,0,0,2015.6781,3152.7273,1.144502,0.61,0.00022144201
225.10326,4413.348,57,57.79761,2963.163,103.73236,116.0477,384.95523,0,0,2051.428,3208.6438,1.1648008,0.61,0.000221442
223.86546,4347.7793,50.892857,57.353462,2940.6235,95.304054,115.04393,373.8881,0,0,2064.1487,3228.5403,1.1720235,0.61,0.00022144198
157.64299,3188.802,25.728813,41.829643,2239.4927,61.24675,76.78404,218.62431,0,0,2175.0393,3401.9844,1.2349873,0.61,0.00022144201
219.0483,4539.525,57,58.945133,3020.2153,103.79451,116.28011,353.13806,0,0,1961.3302,3067.7217,1.1136433,0.61,0.000221442
220.30357,4461.7627,57,58.24737,2986.2734,103.74684,116.26806,370.8451,0,0,2024.2083,3166.069,1.1493454,0.60999995,0.000221442
269.13174,4477.974,57,58.053448,2978.3909,103.74541,116.27278,400.4343,0,0,2126.9468,3326.763,1.2076803,0.60999995,0.00022144198
301.01132,4484.905,57,58.001152,2973.144,103.74487,116.26825,417.95407,0,0,2083.7188,3259.15,1.1831355,0.61,0.000221442
299.1264,4479.3994,57,57.95935,2967.4436,103.75119,116.25841,418.68228,0,0,2028.7064,3173.105,1.1518995,0.61,0.00022144198
295.81256,4475.884,57,57.903675,2962.3423,103.74457,116.23368,418.81613,0,0,2078.6792,3251.2673,1.180274,0.61,0.00022144201
295.4842,4473.7744,57,57.850216,2958.545,103.73902,116.21631,420.4487,0,0,1915.2388,2995.63,1.0874726,0.61,0.000221442
324.44223,4491.3677,57,57.796318,2957.8035,103.714325,116.210205,438.92325,0,0,2055.341,3214.7642,1.1670226,0.60999995,0.00022144198
313.701,4478.9727,57,57.77429,2953.039,103.715096,116.17184,432.1023,0,0,2069.003,3236.1326,1.1747798,0.60999995,0.00022144198
313.45624,4479.7065,57,57.775818,2950.315,103.72146,116.16439,434.19897,0,0,2032.1328,3178.464,1.153845,0.61,0.000221442
299.4938,4470.4707,57,57.759373,2946.6055,103.720764,116.16166,427.45065,0,0,2126.3884,3189.5828,1.2073634,0.6,0.00022711999
322.5836,4489.805,57,57.733955,2947.1333,103.72247,116.174446,442.11868,0,0,2119.8333,3179.75,1.2036413,0.6,0.00022712
322.20682,4493.0303,57,57.743946,2945.6262,103.71612,116.17518,443.12244,0,0,2096.9844,3145.4766,1.1906677,0.6,0.00022712
316.12503,4483.743,56.4466,57.715668,2941.5735,103.22632,116.05878,440.8822,0,0,2072.425,3108.6375,1.1767229,0.59999996,0.00022711999
310.23483,4523.449,46.385715,57.202675,2945.7056,103.72186,116.203766,392.1882,0,0,2105.5315,3158.2974,1.1955208,0.59999996,0.00022711998
306.51367,4491.191,57,58.170116,2937.4695,103.74379,116.33175,424.49835,0,0,2112.4587,3168.6882,1.1994541,0.6,0.00022711999
326.33484,4498.3604,57,58.036247,2939.7734,103.72239,116.29823,438.39178,0,0,2082.603,3123.9045,1.182502,0.59999996,0.00022711999
325.98206,4498.892,57,57.98008,2939.2961,103.72188,116.27956,440.29852,0,0,2088.6619,3132.993,1.1859422,0.6,0.00022711999
325.8309,4501.4204,57,58.006668,2938.966,103.73109,116.28299,442.01947,0,0,2062.9026,3094.354,1.1713161,0.59999996,0.00022711999
315.58157,4495.8955,57,58.040085,2937.7798,103.73242,116.297646,437.15714,0,0,2089.8591,3134.7886,1.1866219,0.6,0.00022711999
312.61157,4497.013,57,58.037365,2937.108,103.733116,116.28603,437.03748,0,0,2095.5027,3143.2542,1.1898265,0.6,0.00022712
323.70316,4508.9585,57,58.006172,2937.7417,103.72062,116.270424,445.2165,0,0,2081.7805,3122.6707,1.182035,0.59999996,0.00022712
311.5335,4502.72,57,58.0344,2936.5051,103.73194,116.29123,439.0986,0,0,2066.365,3099.5476,1.173282,0.6,0.00022711999
324.4087,4516.08,57,58.038826,2937.9905,103.72786,116.28314,449.17578,0,0,2097.4148,3146.1223,1.1909121,0.6,0.00022711999
325.98404,4521.961,57,58.07673,2940.5237,103.7331,116.29652,452.21814,0,0,2019.4194,3029.1292,1.1466264,0.59999996,0.00022711999
326.1377,4525.4604,57,58.061092,2941.9707,103.72082,116.29178,454.19827,0,0,2040.8699,3061.3047,1.1588058,0.59999996,0.00022711998
322.9176,4525.443,57,58.099625,2940.866,103.72285,116.29548,453.99255,0,0,2031.821,3047.7314,1.1536679,0.59999996,0.00022711998
323.41956,4527.735,57,58.068012,2940.065,103.72608,116.2893,455.789,0,0,2035.4402,3053.1604,1.155723,0.6,0.00022712
304.42453,4517.052,57,58.09315,2937.149,103.72881,116.28796,446.71527,0,0,2069.4248,3104.137,1.1750193,0.6,0.00022711999
311.64774,4526.9165,57,58.08184,2936.954,103.726524,116.29592,453.91898,0,0,2053.3357,3080.0034,1.165884,0.6,0.00022712002
318.9697,4534.7295,57,58.076836,2937.2507,103.72697,116.29046,459.91058,0,0,2016.8927,3025.3389,1.1451917,0.6,0.00022712
324.9085,4542.937,57,58.09583,2937.271,103.73573,116.29287,465.50293,0,0,1976.3398,3029.587,1.1221658,0.6052,0.00022416744
312.17325,4537.533,57,58.06651,2935.706,103.72421,116.295265,461.07684,0,0,2007.2603,3076.9856,1.1397223,0.6052,0.00022416742
320.60464,4546.8066,57,58.05469,2935.8467,103.726494,116.29736,467.20056,0,0,1996.7173,3060.824,1.133736,0.60520005,0.00022416744
316.347,4547.7197,57,58.081757,2935.401,103.72896,116.283104,467.25174,0,0,1972.8622,3024.2559,1.1201911,0.6052,0.00022416742
317.1008,4552.799,57,58.094513,2935.4128,103.727486,116.29284,470.66766,0,0,1963.7014,3010.213,1.1149896,0.6052,0.00022416745
315.667,4555.2817,57,58.07032,2934.836,103.70029,116.28504,472.02646,0,0,1953.1973,2994.1108,1.1090254,0.6052,0.00022416744
324.3555,4565.1357,57,58.09163,2935.4646,103.701454,116.29198,479.24667,0,0,1946.4664,2983.7932,1.1052036,0.6052,0.00022416742
326.7527,4570.062,57,58.120987,2935.6033,103.68837,116.294266,482.63525,0,0,1966.3258,3014.2358,1.1164798,0.6052,0.00022416745
322.54364,4571.382,57,58.086052,2935.0037,103.6788,116.28574,483.14105,0,0,1958.3663,3002.035,1.1119604,0.6052,0.00022416742
321.89612,4575.516,57,58.041096,2934.537,103.65924,116.28227,485.7253,0,0,1943.1031,2978.6372,1.1032939,0.6052,0.00022416744
320.35632,4577.7266,57,58.00945,2934.181,103.65327,116.27731,487.0606,0,0,1949.6542,2988.6797,1.1070136,0.6052,0.00022416742
318.54398,4581.095,57,58.041508,2934.296,103.65596,116.2891,488.3725,0,0,1919.8699,2943.0225,1.0901021,0.6052,0.00022416742
323.07855,4587.504,57,58.044014,2934.437,103.66038,116.2951,493.97433,0,0,1876.9702,2877.2603,1.0657437,0.6052,0.00022416744
326.94,4593.058,57,57.990856,2934.3047,103.652214,116.287704,497.96252,0,0,1883.6063,2887.4329,1.0695117,0.6052,0.00022416745
322.17722,4593.163,57,57.979824,2933.6868,103.64902,116.27402,497.70547,0,0,1871.1039,2868.2676,1.0624127,0.6052,0.00022416742
318.67197,4596.2085,57,57.99867,2933.1497,103.653076,116.27135,499.25714,0,0,1879.1409,2880.588,1.0669762,0.60520005,0.00022416745
317.07877,4597.942,57,58.02806,2932.9705,103.662796,116.26591,500.92572,0,0,1858.3446,2848.7085,1.055168,0.6052,0.00022416744
322.16595,4604.7144,57,58.02585,2933.2644,103.66748,116.27403,506.0257,0,0,1846.7395,2830.9187,1.0485786,0.6052,0.00022416744
317.8503,4606.8984,57,57.99059,2932.77,103.659325,116.26356,507.07483,0,0,1859.3044,2850.18,1.055713,0.6052,0.00022416744
324.16486,4614.0786,57,57.9825,2933.305,103.66879,116.26193,512.54236,0,0,1839.8286,2820.325,1.0446547,0.60520005,0.00022416745
329.1165,4620.0903,57,58.01335,2933.8962,103.672554,116.252846,517.3604,0,0,1802.6188,2763.285,1.0235269,0.6052,0.00022416742
345.62985,4636.76,57,57.974575,2941.8533,103.6637,116.27351,527.4779,0,0,1772.6376,2717.326,1.0065036,0.6052,0.00022416744
342.0534,4642.66,57,58.026436,2950.0515,103.665504,116.30015,528.67377,0,0,1776.1146,2722.656,1.0084778,0.6052,0.00022416742
337.83832,4624.979,52.44,57.82292,2943.676,102.98664,115.8125,521.0979,0,0,2004.8336,3073.2659,1.1383445,0.6052,0.00022416742
267.22208,3842.179,40.484848,58.246143,3281.946,101.14965,109.26793,301.70413,0,0,2072.2795,3176.6555,1.1766403,0.6052,0.00022416742
307.30167,4668.6553,57,59.399063,3021.892,103.808685,117.211,424.01608,0,0,1909.0897,2926.4973,1.0839812,0.60520005,0.00022416744
305.86273,4647.683,57,59.235203,3002.8357,103.85461,117.21671,431.3842,0,0,1904.0612,2918.7888,1.0811259,0.6052,0.00022416742
313.6504,4641.3135,57,59.119064,2992.1362,103.848915,117.126495,441.01578,0,0,1939.685,2973.3977,1.1013532,0.6052,0.00022416742
302.9176,4627.143,57,59.070793,2982.6326,103.85861,117.0679,440.52835,0,0,1738.2081,3314.7222,0.9869545,0.656,0.0001953232
316.52917,4630.5215,57,58.946655,2979.643,103.84904,116.97612,452.50586,0,0,1748.9589,3335.2234,0.9930588,0.65599996,0.00019532321
299.70364,4615.559,57,58.935574,2974.4607,103.814354,116.81677,449.57513,0,0,1744.6681,3327.041,0.9906225,0.65599996,0.00019532321
314.16565,4621.162,57,58.82923,2972.0215,103.80262,116.747025,460.29007,0,0,1732.5834,3303.996,0.98376083,0.65599996,0.0001953232
309.77097,4617.3315,57,58.779335,2966.8293,103.80682,116.667274,461.8562,0,0,1735.7485,3310.0317,0.985558,0.65599996,0.0001953232
312.06332,4619.3364,57,58.755978,2963.61,103.804634,116.62901,466.19922,0,0,1724.5042,3288.589,0.9791735,0.65599996,0.00019532321
298.73105,4612.422,57,58.74825,2959.6887,103.80727,116.59641,463.50113,0,0,1733.29,3305.3435,0.9841621,0.65599996,0.0001953232
314.63742,4624.322,57,58.727882,2958.1523,103.8232,116.56329,474.29834,0,0,1690.8472,3224.406,0.96006304,0.656,0.00019532323
296.32193,4616.7993,57,58.746563,2954.3752,103.80909,116.5437,469.55685,0,0,1806.8779,3445.6738,1.0259453,0.65599996,0.00019532321
288.95538,4615.323,57,58.70176,2952.4126,103.80293,116.5078,469.33105,0,0,1734.0444,3306.782,0.98459035,0.656,0.00019532321
310.28888,4628.7285,57,58.641293,2952.6929,103.76731,116.49499,481.7353,0,0,1660.4684,3166.4744,0.94281393,0.65599996,0.0001953232
307.38272,4630.457,57,58.625538,2951.1125,103.75978,116.48303,483.08987,0,0,1720.1508,3280.287,0.97670156,0.65599996,0.0001953232
310.75345,4639.1655,57,58.646057,2950.1099,103.75876,116.48081,486.27374,0,0,1810.1215,3066.2834,1.027787,0.62880003,0.00021076736
302.8677,4642.125,57,58.65918,2948.828,103.75811,116.47703,484.82718,0,0,1815.8901,3076.0554,1.0310624,0.62880003,0.00021076735
310.55362,4651.5737,57,58.673515,2948.9883,103.76235,116.465935,489.86954,0,0,1808.3345,3063.2563,1.0267724,0.62880003,0.00021076736
301.8793,4653.4634,57,58.657295,2947.838,103.75294,116.44389,489.24597,0,0,1777.6835,3011.3347,1.0093687,0.62880003,0.00021076735
308.55243,4661.526,57,58.656326,2948.1,103.76175,116.424995,494.61658,0,0,1773.7557,3004.6812,1.0071385,0.6288,0.00021076735
303.29376,4664.0283,57,58.655094,2947.5496,103.75699,116.407845,495.43027,0,0,1777.0961,3010.3396,1.0090351,0.62880003,0.00021076735
297.43854,4665.765,57,58.65631,2946.6863,103.76692,116.400925,496.2945,0,0,1767.5597,2994.1853,1.0036204,0.6288,0.00021076735
300.63312,4364.0557,20.9,126.800415,3017.8455,104.14954,114.15946,347.91196,0,0,1734.7229,2938.5608,0.98497564,0.6288,0.00021076735
307.73068,4658.0264,51.310318,66.398445,2958.7637,103.746864,116.12172,462.70013,0,0,1821.5106,3085.5762,1.0342537,0.6288,0.00021076735
310.52014,4676.055,57,58.874546,2944.2039,103.77762,116.48456,486.37418,0,0,1644.7886,2948.3103,0.93391097,0.64190006,0.00020332918
304.51318,4670.8545,57,58.74676,2943.3872,103.77091,116.47088,488.5892,0,0,1643.1854,2945.4365,0.9330006,0.6419,0.00020332915
310.33118,4673.376,57,58.673965,2943.4949,103.766136,116.4556,494.95264,0,0,1629.1378,2920.2559,0.9250244,0.6419,0.00020332917
296.77216,4669.6685,57,58.607254,2943.034,103.764984,116.39983,494.08252,0,0,1624.8113,2912.5005,0.9225678,0.64190006,0.00020332917
297.20792,4672.4956,57,58.567543,2942.955,103.760376,116.32809,497.869,0,0,1585.3955,2841.8472,0.90018755,0.6419,0.00020332917
332.55075,4675.3423,57,58.576,2942.9807,103.76424,116.32148,501.5154,0,0,1509.0714,2705.035,0.85685074,0.6419,0.00020332917
377.8325,4675.7236,57,58.503162,2942.3145,103.75917,116.310776,502.15958,0,0,1504.7999,2697.3784,0.85442543,0.64190006,0.00020332917
302.91226,4680.784,57,58.48232,2942.8528,103.7594,116.27378,507.23788,0,0,1471.4745,2637.6418,0.83550316,0.64190006,0.00020332917
302.33185,4684.017,57,58.453934,2943.1067,103.75776,116.27417,510.70926,0,0,1580.3394,2690.8481,0.8973167,0.63,0.000210086
301.8901,4686.6963,57,58.431293,2943.135,103.76014,116.24296,513.346,0,0,1630.3835,2776.0583,0.9257318,0.63,0.000210086
305.44336,4691.5586,57,58.401188,2943.8115,103.75471,116.211624,519.0823,0,0,1614.3762,2748.8027,0.9166428,0.63000005,0.000210086
301.9917,4692.7593,57,58.346027,2943.7012,103.755806,116.20935,520.41754,0,0,1612.295,2745.259,0.9154611,0.63,0.000210086
301.5466,4696.5737,57,58.293488,2944.023,103.75947,116.14792,524.5453,0,0,1711.4332,2914.062,0.97175175,0.63,0.000210086
302.60956,4700.044,57,58.202526,2944.361,103.75947,116.12268,528.33844,0,0,1559.0833,2654.6553,0.88524747,0.63000005,0.00021008601
296.4576,4700.9766,57,58.204544,2944.4119,103.76408,116.12299,529.8243,0,0,1620.5463,2759.3086,0.92014617,0.63,0.00021008599
303.10873,4706.3047,57,58.146294,2945.3638,103.76173,116.07057,535.41345,0,0,1651.7151,2812.3796,0.9378438,0.63,0.000210086
303.83716,4709.773,57,58.08464,2945.9434,103.76467,116.050446,539.31165,0,0,1642.9597,2797.472,0.93287253,0.63,0.000210086
308.69022,4702.8403,51.57143,57.882874,2940.8652,103.29642,115.71843,543.8222,0,0,1227.6188,2929.5732,0.6970419,0.70470005,0.00016767134
310.0611,4716.9575,57,57.93962,2947.2722,103.76517,116.01627,547.40674,0,0,1226.6858,2927.3467,0.69651216,0.70470005,0.00016767134
316.7195,4721.8394,57,57.867943,2948.514,103.76335,116.00054,553.2234,0,0,1255.6678,2996.5093,0.71296823,0.7047,0.00016767133
315.75943,4723.9673,57,57.787266,2948.8774,103.765724,115.99119,555.8317,0,0,1237.5652,2953.309,0.70268947,0.70470005,0.00016767134
315.94873,4721.4863,57,57.74962,2948.4126,103.76554,115.978874,553.5932,0,0,1254.3131,2993.2764,0.712199,0.70470005,0.00016767133
312.8536,4606.674,57,58.75738,2923.155,103.75984,116.30182,450.0247,0,0,1476.4017,3523.2659,0.8383009,0.70470005,0.00016767133
307.0478,4604.865,57,58.80041,2920.2102,103.76586,116.29629,449.79788,0,0,1479.432,3530.497,0.8400215,0.7047,0.00016767133
306.5481,4607.5156,57,58.774345,2919.187,103.76534,116.25987,452.50027,0,0,1471.7483,3512.1606,0.83565867,0.7047,0.00016767133
320.7246,4618.848,57,58.72496,2920.1523,103.76305,116.19797,462.70557,0,0,1424.5201,3399.456,0.8088425,0.70470005,0.00016767133
327.02527,4626.673,57,58.67637,2921.1826,103.767044,116.128815,469.87225,0,0,1448.6107,3456.9453,0.82252115,0.7047,0.00016767133
243.97803,3294.202,15.2,33.801907,3232.4116,104.41467,108.579926,242.82254,0,0,1432.6428,3418.8398,0.81345457,0.70470005,0.00016767134
271.57837,4369.8574,36.203224,60.610252,3008.026,103.25561,114.0996,292.55667,0,0,1508.7906,3600.558,0.8566913,0.70470005,0.00016767133
308.92636,4639.3667,57,59.201668,2919.7832,103.8286,116.1136,439.11368,0,0,1409.0537,3362.5474,0.8000607,0.7047,0.00016767133
311.35663,4618.1865,55.53846,58.94843,2913.9526,103.58081,115.906876,448.1348,0,0,1358.1707,3241.1206,0.77116925,0.70470005,0.00016767133
277.48175,4599.511,57,58.986385,2912.2349,103.7684,116.149635,435.6152,0,0,1358.8516,3242.7456,0.7715559,0.7047,0.00016767133
309.07693,4618.4966,57,58.87861,2914.4978,103.76699,116.029366,456.28378,0,0,1357.8395,3240.33,0.7709812,0.7047,0.00016767133
320.58405,4626.968,57,58.757267,2915.163,103.76292,115.97493,466.40927,0,0,1329.3429,3172.3264,0.7548009,0.7047,0.00016767133
316.75952,4627.0854,57,58.697826,2914.5159,103.75867,115.95087,468.9796,0,0,1314.9355,3137.9448,0.74662036,0.7047,0.00016767133
