API,TR,Rsb,Bob,Gg,Pb
8.76,132.0,81.4,1.2858,0.9216,225.2
10.90,113.0,20.4,1.1220,1.1708,50.76
11.10,122.8,21.7,1.1390,1.1725,55.05
11.30,115.1,19.6,1.1190,0.9105,74.27
11.35,107.0,52.1,1.2114,0.9054,128.0
11.40,112.0,22.0,1.1280,0.9595,82.47
11.80,124.5,51.7,1.2320,0.9299,146.8
11.85,116.0,38.2,1.1829,1.0313,86.0
12.02,115.6,47.0,1.1890,1.0937,136.0
12.17,121.0,56.6,1.2217,0.9141,137.0
12.36,113.5,50.3,1.2012,0.8864,134.0
12.38,121.2,57.1,1.2419,0.9096,135.0
12.60,114.0,54.7,1.2198,0.9359,142.0
12.77,120.0,78.6,1.3005,1.0280,153.0
12.83,118.3,66.3,1.3190,0.8545,159.0
12.90,114.5,49.4,1.2070,1.0477,133.1
13.20,115.0,44.2,1.1860,0.9158,126.0
13.60,110.0,16.6,1.1120,1.2016,42.09
13.63,116.3,48.5,1.2070,0.9440,130.0
13.70,122.6,55.3,1.2180,0.8914,154.7
13.92,117.3,50.1,1.2040,0.9189,144.48
14.13,117.0,56.5,1.2112,0.8161,156.0
15.06,122.0,44.0,1.1935,0.9797,89.0
15.10,103.9,45.1,1.1730,0.9250,125.9
15.59,112.0,51.0,1.1657,1.0220,210.0
15.99,108.0,41.8,1.1974,0.8366,105.0
16.42,102.0,70.5,1.1789,0.6848,216.0
16.56,120.0,57.5,1.2543,1.0323,138.0
16.79,115.0,38.5,1.1343,0.8763,131.0
17.00,92.1,50.2,1.1550,0.6934,176.6
18.16,131.5,73.2,1.3257,1.1287,110.0
18.19,123.0,68.0,1.2656,0.9637,139.0
19.11,117.5,56.3,1.2719,0.9632,116.0
19.19,119.6,57.8,1.2612,0.8834,97.0
19.46,121.0,55.5,1.2786,0.9903,112.0
19.58,121.0,87.9,1.3194,0.8747,131.0
20.47,118.4,72.8,1.2890,1.0749,125.0
20.98,114.0,52.0,1.2105,0.9962,111.0
20.99,122.5,76.4,1.2616,0.9736,152.0
21.46,73.1,78.7,1.2724,0.8548,168.0
21.48,122.5,137.1,1.3913,0.9602,217.0
21.67,99.64,99.2,1.3106,0.7923,208.54
22.40,126.3,122.7,1.4163,1.2536,220.0
22.47,121.5,68.4,1.3000,0.9146,134.36
22.80,119.3,56.8,1.2630,0.8984,115.45
22.99,123.0,38.0,1.1901,0.8952,67.0
23.69,123.2,26.8,1.3133,0.8452,66.24
24.00,90.7,99.4,1.3960,0.8721,187.37
24.68,121.0,80.0,1.2687,0.8968,148.0
24.90,133.0,44.0,1.2962,0.8915,115.0
25.10,120.1,59.2,1.2660,1.0883,101.4
28.09,140.0,121.4,1.4104,1.1186,139.0
28.30,116.4,221.6,1.6680,1.1348,340.64
31.50,116.6,230.4,1.6790,1.1004,314.68
32.46,59.0,75.8,1.2240,0.7419,135.02
34.79,69.8,100.6,1.2811,0.7637,196.9
34.80,42.6,20.0,1.0394,0.8726,31.64
35.18,43.6,19.9,1.0810,0.8569,31.6
35.90,116.4,282.5,1.8790,1.0955,333.05
36.35,155.0,80.0,1.4310,0.9578,130.0
36.40,148.0,217.2,1.6655,0.9026,276.66
36.70,155.0,64.6,1.3520,0.9899,133.2
38.00,130.0,322.8,2.0540,0.7699,378.12
39.39,75.06,146.6,1.4490,0.7884,210.64
