Date,Qo,Qg,Qw ,Pwh,Twh,Pwf
43364,538.7146,2669,1905.1,1389,90,4022
43365,645.5702,2980,1632,1368,90,3991
43366,712.3837,2968,2663,1350,90,3967
43367,723.8448,3270,2214,1768,90,3926
43368,763.6623,2509,2607,1262,90,3976
43369,851.608,3778,2951,1237,90,3886
43370,632.6945,3835,2945,1222,90,3861
43371,982.8541,4012,3014,1237,90,3834
43372,976.5349,4086,3198,1205,90,3815
43373,697.4478,3211,2459,1280,90,3837
43374,974.4074,4425,1853.72,1675,90,3791
43375,954.7094,3729,3149,1234,90,3789
43376,751.785,4098,2028,1926,90,3757
43377,333.0884,1275,1318,1223,90,3854
43378,997.456,3893,2557.24,1297,90,3802
43379,760.7038,3311,2467,1225,90,3802
43380,1309.4015,5263,3595,1092,90,3729
43381,1066.6737,4856,3275,1110,90,3679
43382,1308.655,3447,3600.48,1600,90,3662
43383,873.9159,2268,2778.25,1101,90,3669
43384,1195.3777,3838,3167.85,1022,90,3628
43385,1103.3582,4077,3406.52,1006,90,3593
43386,1082.4855,4035,2041.6,1001,90,3574
43387,1058.4394,4067,2002.94,992,90,3556
43388,1066.5347,4521,2090.22,986,90,3540
43389,1210.7163,4860,2351.93,890,90,3537
43390,1021.3808,5260,2322.56,844,90,3491
43391,1218.3709,5215,2617.99,844,90,3468
43392,1136.7655,5204,1991.41,812,90,3456
43396,1240.4024,5283,2367.16,714,90,3365
43397,1061.0935,5419,2128.31,700,90,3353
43398,1145.7238,5680,4316,699,90,3331
43399,1028.8459,5693,3995,1517,90,3305
43400,503.1173,2154,2066,750,90,3443
43401,1311.5457,6113,4501,690,90,3365
43402,240.8852,3285,811,626,90,3361
43403,669.1621,2659,3115,714,90,3487
43409,1301.5252,4367,3441,605,90,3241
43410,1189.5989,5968,2213.12,592,90,3194
43411,1209.8286,5943,2485.94,588,90,3165
43412,1031.0537,4521,3782.92,540,90,3204
43413,1166.0382,5933,4584.3,580,90,3147
43414,59.4592,2955,4492.3,955,90,3247
43417,389.6298,42,847.64,1041,90,3474
43418,660.6898,2661,823.53,960,90,3469
43419,1109.1284,3585,1575.2,866,90,3404
43420,913.6805,5947,742.07,788,90,3251
43421,1174.9981,4709,1778.44,675,90,3237
43422,1109.1187,5438,2732.77,633,90,3156
43423,1245.5469,5470,2128.92,602,90,3120
43424,1196.3739,5505,4966.81,608,90,3090
43425,875.1997,5489,3613.9,576,90,3067
43426,567.51,4793,2559.04,74,90,3072
43427,1045.9278,2932,3806.93,590,90,3192
43428,1119.209,5733,4262.34,570,90,3056
43429,1101.425,5303,4135.66,567,90,3028
43430,981.8016,5374,3762.69,555,90,3007
43431,1005.5938,5362,3993.61,553,90,2991
43432,1170.4044,5356,4691.6,550,90,2839
43433,162.5883,3049,2567.23,66,90,3078
43435,1013.0628,5514,4071.22,576,90,3017
43436,1012.6985,5293,4001.56,542,90,2974
43437,684.1145,3908,3311.73,758,90,3026
43438,958.1884,4672,3578.35,662,90,3002
43439,14.1011,2223,45.82,30,90,3061
43440,748.7273,1195,2854.6,891,90,3002
43441,1040.0249,4741,1712.4,800,90,3002
43442,860.7142,4460,1685.98,700,90,3002
43443,885.6018,4353,1718.38,700,90,3002
43444,976.1262,4438,1848.34,563,90,3002
43445,587.0751,3324,2467.69,420,90,3002
43446,1008.8953,5114,3857.84,394,90,3002
43447,1088.9971,5197,4262.95,370,90,3002
43448,949.7588,5090,3945.43,370,90,3002
43449,985.6706,5060,3943.81,365,90,3002
43450,942.8441,5064,3901.5,358,90,3002
43451,939.6696,5050,3805.85,395,90,3002
43452,892.7079,5051,3559.74,376,90,3002
43453,749.6583,5033,3815.34,840,90,3002
43454,831.2331,2171,3249.47,500,90,3002
43455,906.6767,5018,3791.74,420,90,3002
43456,978.566,4904,4275.27,415,90,3002
43457,891.5907,4953,4039.18,387,90,3002
43458,955.1458,4967,3796.32,390,90,3002
43459,638.8285,3716,2822.73,480,90,3002
43460,874.5,4658,3645.51,370,90,3002
43461,484.4215,4694,3800.04,113,90,2804
43462,439.3761,286,2258.06,677,90,2804
43463,1007.7788,5595,4263.13,397,90,2853
43464,885.1714,5335,2885.65,356,90,2776
43465,968.0742,5191,3244.78,344,90,2754
43466,981.4782,5083,2448.86,335,90,2739
43467,926.5284,4558,2426.21,362,90,2727
43468,914.0106,3955,3611.34,293,90,2712
43469,785.4563,3624,3523.62,293,90,2753
43470,845.3012,4805,3759.08,293,90,2707
43471,842.8562,4732,3864.04,293,90,2691
43472,814.7934,4738,3725.23,293,90,2679
43473,902.9115,5091,3650.88,291,90,2661
43480,977.4622,4910,3712.18,251,90,2574
43481,881.2796,4915,3656.7,241,90,2567
43482,607.8407,3934,2946.37,578,90,2614
43483,764.6047,4196,3547.39,473,90,2634
43484,741.1532,4385,3673.81,422,90,2605
43485,813.5489,4516,3615.81,394,90,2586
43486,765.7988,4568,3660.91,402,90,2573
43487,789.5319,4486,3729.54,136,90,2568
43488,378.2147,2017,1489.58,751,90,2682
43489,990.2965,4430,4100.16,315,90,2662
43490,974.7668,4966,4064.94,280,90,2554
43491,718.4637,4801,3842.52,279,90,2532
43492,810.6132,4786,3958.53,252,90,2517
43493,872.6358,4780,4021.69,245,90,2504
