Date,Qo,Qg,Qw ,Pwh,Twh,Pwf
21/9/18,538.7146,2669,1905.1,1389,90,4022
22/9/18,645.5702,2980,1632,1368,90,3991
23/9/18,712.3837,2968,2663,1350,90,3967
24/9/18,723.8448,3270,2214,1768,90,3926
25/9/18,763.6623,2509,2607,1262,90,3976
26/9/18,851.608,3778,2951,1237,90,3886
27/9/18,632.6945,3835,2945,1222,90,3861
28/9/18,982.8541,4012,3014,1237,90,3834
29/9/18,976.5349,4086,3198,1205,90,3815
30/9/18,697.4478,3211,2459,1280,90,3837
1/10/18,974.4074,4425,1853.72,1675,90,3791
2/10/18,954.7094,3729,3149,1234,90,3789
3/10/18,751.785,4098,2028,1926,90,3757
4/10/18,333.0884,1275,1318,1223,90,3854
5/10/18,997.456,3893,2557.24,1297,90,3802
6/10/18,760.7038,3311,2467,1225,90,3802
7/10/18,1309.4015,5263,3595,1092,90,3729
8/10/18,1066.6737,4856,3275,1110,90,3679
9/10/18,1308.655,3447,3600.48,1600,90,3662
10/10/18,873.9159,2268,2778.25,1101,90,3669
11/10/18,1195.3777,3838,3167.85,1022,90,3628
12/10/18,1103.3582,4077,3406.52,1006,90,3593
13/10/18,1082.4855,4035,2041.6,1001,90,3574
14/10/18,1058.4394,4067,2002.94,992,90,3556
15/10/18,1066.5347,4521,2090.22,986,90,3540
16/10/18,1210.7163,4860,2351.93,890,90,3537
17/10/18,1021.3808,5260,2322.56,844,90,3491
18/10/18,1218.3709,5215,2617.99,844,90,3468
19/10/18,1136.7655,5204,1991.41,812,90,3456
23/10/18,1240.4024,5283,2367.16,714,90,3365
24/10/18,1061.0935,5419,2128.31,700,90,3353
25/10/18,1145.7238,5680,4316,699,90,3331
26/10/18,1028.8459,5693,3995,1517,90,3305
27/10/18,503.1173,2154,2066,750,90,3443
28/10/18,1311.5457,6113,4501,690,90,3365
29/10/18,240.8852,3285,811,626,90,3361
30/10/18,669.1621,2659,3115,714,90,3487
5/11/18,1301.5252,4367,3441,605,90,3241
6/11/18,1189.5989,5968,2213.12,592,90,3194
7/11/18,1209.8286,5943,2485.94,588,90,3165
8/11/18,1031.0537,4521,3782.92,540,90,3204
9/11/18,1166.0382,5933,4584.3,580,90,3147
10/11/18,59.4592,2955,4492.3,955,90,3247
13/11/18,389.6298,42,847.64,1041,90,3474
14/11/18,660.6898,2661,823.53,960,90,3469
15/11/18,1109.1284,3585,1575.2,866,90,3404
