date,count
2014-01-01,33141
2014-01-02,58431
2014-01-03,61279
2014-01-04,45714
2014-01-05,46093
2014-01-06,63649
2014-01-07,72053
2014-01-08,72890
2014-01-09,72184
2014-01-10,66945
2014-01-11,45708
2014-01-12,46602
2014-01-13,70765
2014-01-14,73698
2014-01-15,75700
2014-01-16,75647
2014-01-17,68321
2014-01-18,47194
2014-01-19,48995
2014-01-20,69067
2014-01-21,75391
2014-01-22,74891
2014-01-23,75244
2014-01-24,69886
2014-01-25,52319
2014-01-26,52613
2014-01-27,73179
2014-01-28,83405
2014-01-29,87604
2014-01-30,76269
2014-01-31,78407
2014-02-01,47775
2014-02-02,48820
2014-02-03,69589
2014-02-04,75667
2014-02-05,79016
2014-02-06,77768
2014-02-07,74840
2014-02-08,51856
2014-02-09,58192
2014-02-10,80235
2014-02-11,82280
2014-02-12,81802
2014-02-13,80355
2014-02-14,81109
2014-02-15,50570
2014-02-16,54171
2014-02-17,77241
2014-02-18,83227
2014-02-19,82576
2014-02-20,81266
2014-02-21,78106
2014-02-22,54304
2014-02-23,55262
2014-02-24,79560
2014-02-25,81076
2014-02-26,81986
2014-02-27,82902
2014-02-28,80185
2014-03-01,51000
2014-03-02,54392
2014-03-03,82081
2014-03-04,86868
2014-03-05,85538
2014-03-06,82824
2014-03-07,82701
2014-03-08,53167
2014-03-09,50080
2014-03-10,79565
2014-03-11,82281
2014-03-12,83926
2014-03-13,84716
2014-03-14,79241
2014-03-15,56131
2014-03-16,53750
2014-03-17,84085
2014-03-18,85357
2014-03-19,83107
2014-03-20,86074
2014-03-21,79500
2014-03-22,51129
2014-03-23,54833
2014-03-24,84173
2014-03-25,85000
2014-03-26,86340
2014-03-27,86898
2014-03-28,80277
2014-03-29,50457
2014-03-30,52595
2014-03-31,79376
2014-04-01,82207
2014-04-02,83007
2014-04-03,83787
2014-04-04,80959
2014-04-05,48946
2014-04-06,52603
2014-04-07,81374
2014-04-08,83969
2014-04-09,83513
2014-04-10,82168
2014-04-11,77513
2014-04-12,52162
2014-04-13,54727
2014-04-14,84878
2014-04-15,85693
2014-04-16,88995
2014-04-17,83011
2014-04-18,69931
2014-04-19,49288
2014-04-20,47626
2014-04-21,71473
2014-04-22,88700
2014-04-23,86509
2014-04-24,86192
2014-04-25,79112
2014-04-26,53704
2014-04-27,57599
2014-04-28,82598
2014-04-29,84950
2014-04-30,91623
2014-05-01,76593
2014-05-02,73796
2014-05-03,49059
2014-05-04,54171
2014-05-05,78452
2014-05-06,87092
2014-05-07,86864
2014-05-08,84587
2014-05-09,79549
2014-05-10,52260
2014-05-11,53344
2014-05-12,81698
2014-05-13,88280
2014-05-14,87042
2014-05-15,87837
2014-05-16,80848
2014-05-17,52942
2014-05-18,54021
2014-05-19,84915
2014-05-20,92939
2014-05-21,90349
2014-05-22,85586
2014-05-23,82816
2014-05-24,48954
2014-05-25,52490
2014-05-26,76900
2014-05-27,87448
2014-05-28,90684
2014-05-29,78633
2014-05-30,81646
2014-05-31,51554
2014-06-01,50941
2014-06-02,78059
2014-06-03,83391
2014-06-04,89134
2014-06-05,83974
2014-06-06,80836
2014-06-07,47499
2014-06-08,49110
2014-06-09,76577
2014-06-10,87329
2014-06-11,88356
2014-06-12,83699
2014-06-13,78070
2014-06-14,47801
2014-06-15,50622
2014-06-16,79576
2014-06-17,84139
2014-06-18,91267
2014-06-19,81822
2014-06-20,77014
2014-06-21,46008
2014-06-22,49727
2014-06-23,80908
2014-06-24,85064
2014-06-25,86424
2014-06-26,83138
2014-06-27,79734
2014-06-28,45532
2014-06-29,53691
2014-06-30,77894
2014-07-01,81759
2014-07-02,83872
2014-07-03,82081
2014-07-04,65142
2014-07-05,42663
2014-07-06,52114
2014-07-07,80985
2014-07-08,85040
2014-07-09,84326
2014-07-10,84989
2014-07-11,78670
2014-07-12,49260
2014-07-13,48195
2014-07-14,79407
2014-07-15,83443
2014-07-16,84920
2014-07-17,85968
2014-07-18,80539
2014-07-19,47640
2014-07-20,47712
2014-07-21,82853
2014-07-22,88336
2014-07-23,85619
2014-07-24,85280
2014-07-25,80020
2014-07-26,49132
2014-07-27,51615
2014-07-28,82991
2014-07-29,89855
2014-07-30,90708
2014-07-31,88542
2014-08-01,79208
2014-08-02,49138
2014-08-03,51714
2014-08-04,82506
2014-08-05,86858
2014-08-06,90356
2014-08-07,88691
2014-08-08,82466
2014-08-09,50398
2014-08-10,51658
2014-08-11,84965
2014-08-12,91315
2014-08-13,91377
2014-08-14,94312
2014-08-15,83121
2014-08-16,51629
2014-08-17,55773
2014-08-18,85423
2014-08-19,90285
2014-08-20,92713
2014-08-21,91486
2014-08-22,90146
2014-08-23,58308
2014-08-24,57229
2014-08-25,83669
2014-08-26,91062
2014-08-27,93387
2014-08-28,88224
2014-08-29,86394
2014-08-30,57013
2014-08-31,60021
2014-09-01,75184
2014-09-02,86781
2014-09-03,210694
2014-09-04,89039
2014-09-05,84859
2014-09-06,58685
2014-09-07,62705
2014-09-08,92292
2014-09-09,89597
2014-09-10,88649
2014-09-11,90532
2014-09-12,82834
2014-09-13,58073
2014-09-14,61547
2014-09-15,93435
2014-09-16,96811
2014-09-17,89493
2014-09-18,90882
2014-09-19,84212
2014-09-20,53306
2014-09-21,58669
2014-09-22,87005
2014-09-23,92379
2014-09-24,93534
2014-09-25,91590
2014-09-26,84628
2014-09-27,56335
2014-09-28,57202
2014-09-29,86283
2014-09-30,93083
2014-10-01,97602
2014-10-02,92993
2014-10-03,88163
2014-10-04,51455
2014-10-05,56097
2014-10-06,87386
2014-10-07,90417
2014-10-08,91734
2014-10-09,91923
2014-10-10,94419
2014-10-11,56265
2014-10-12,57412
2014-10-13,88847
2014-10-14,97516
2014-10-15,93812
2014-10-16,97841
2014-10-17,85282
2014-10-18,56038
2014-10-19,59943
2014-10-20,98562
2014-10-21,101403
2014-10-22,99927
2014-10-23,98176
2014-10-24,88831
2014-10-25,56568
2014-10-26,66116
2014-10-27,91347
2014-10-28,97171
2014-10-29,101137
2014-10-30,97423
2014-10-31,92071
2014-11-01,63362
2014-11-02,63184
2014-11-03,92480
2014-11-04,94970
2014-11-05,97018
2014-11-06,97135
2014-11-07,91185
2014-11-08,61917
2014-11-09,63492
2014-11-10,91644
2014-11-11,94855
2014-11-12,97860
2014-11-13,101985
2014-11-14,95287
2014-11-15,62390
2014-11-16,70615
2014-11-17,96466
2014-11-18,103004
2014-11-19,101093
2014-11-20,100739
2014-11-21,94010
2014-11-22,65827
2014-11-23,66269
2014-11-24,96094
2014-11-25,100373
2014-11-26,100566
2014-11-27,88558
2014-11-28,76759
2014-11-29,57751
2014-11-30,62008
2014-12-01,93103
2014-12-02,102102
2014-12-03,101770
2014-12-04,99399
2014-12-05,99252
2014-12-06,65185
2014-12-07,68379
2014-12-08,101279
2014-12-09,104940
2014-12-10,102111
2014-12-11,102601
2014-12-12,94270
2014-12-13,59533
2014-12-14,61406
2014-12-15,97281
2014-12-16,102252
2014-12-17,97069
2014-12-18,94222
2014-12-19,85777
2014-12-20,56699
2014-12-21,54589
2014-12-22,79792
2014-12-23,79485
2014-12-24,55844
2014-12-25,40654
2014-12-26,52248
2014-12-27,50301
2014-12-28,53414
2014-12-29,71663
2014-12-30,73747
2014-12-31,61099
2015-01-01,47264
2015-01-02,71925
2015-01-03,61794
2015-01-04,64149
2015-01-05,89582
2015-01-06,94562
2015-01-07,95188
2015-01-08,98665
2015-01-09,92408
2015-01-10,63086
2015-01-11,68308
2015-01-12,98676
2015-01-13,101093
2015-01-14,104272
2015-01-15,103182
2015-01-16,98209
2015-01-17,66663
2015-01-18,68130
2015-01-19,95220
2015-01-20,102730
2015-01-21,103014
2015-01-22,103144
2015-01-23,100271
2015-01-24,74134
2015-01-25,78380
2015-01-26,100055
2015-01-27,106024
2015-01-28,108484
2015-01-29,104039
2015-01-30,99195
2015-01-31,70747
2015-02-01,70641
2015-02-02,107878
2015-02-03,107305
2015-02-04,107980
2015-02-05,109498
2015-02-06,102811
2015-02-07,71076
2015-02-08,77347
2015-02-09,107600
2015-02-10,110327
2015-02-11,111219
2015-02-12,110566
2015-02-13,104691
2015-02-14,65222
2015-02-15,70030
2015-02-16,101937
2015-02-17,112912
2015-02-18,110264
2015-02-19,109944
2015-02-20,104310
2015-02-21,74925
2015-02-22,80658
2015-02-23,111786
2015-02-24,116952
2015-02-25,118722
2015-02-26,117839
2015-02-27,108908
2015-02-28,76183
2015-03-01,80211
2015-03-02,115921
2015-03-03,120368
2015-03-04,178013
2015-03-05,118335
2015-03-06,124798
2015-03-07,77339
2015-03-08,80782
2015-03-09,112506
2015-03-10,117038
2015-03-11,120376
2015-03-12,118665
2015-03-13,111137
2015-03-14,74907
2015-03-15,80059
2015-03-16,116407
2015-03-17,120850
2015-03-18,118528
2015-03-19,117123
2015-03-20,111794
2015-03-21,72092
2015-03-22,78135
2015-03-23,115613
2015-03-24,118772
2015-03-25,125637
2015-03-26,117498
2015-03-27,109508
2015-03-28,73221
2015-03-29,75761
2015-03-30,112139
2015-03-31,117865
2015-04-01,114263
2015-04-02,110015
2015-04-03,100685
2015-04-04,70337
2015-04-05,68566
2015-04-06,94064
2015-04-07,115356
2015-04-08,153693
2015-04-09,121250
2015-04-10,108822
2015-04-11,76253
2015-04-12,76240
2015-04-13,109647
2015-04-14,118578
2015-04-15,114742
2015-04-16,114662
2015-04-17,109328
2015-04-18,73731
2015-04-19,81314
2015-04-20,117050
2015-04-21,116880
2015-04-22,119093
2015-04-23,115869
2015-04-24,108647
2015-04-25,69694
2015-04-26,76369
2015-04-27,112609
2015-04-28,122499
2015-04-29,119856
2015-04-30,204308
2015-05-01,101262
2015-05-02,71474
2015-05-03,73827
2015-05-04,111376
2015-05-05,117926
2015-05-06,123489
2015-05-07,117176
2015-05-08,108342
2015-05-09,71920
2015-05-10,74165
2015-05-11,114566
2015-05-12,122333
2015-05-13,121238
2015-05-14,111754
2015-05-15,111743
2015-05-16,71098
2015-05-17,73362
2015-05-18,112177
2015-05-19,118323
2015-05-20,119788
2015-05-21,118843
2015-05-22,112283
2015-05-23,68524
2015-05-24,68273
2015-05-25,92857
2015-05-26,116798
2015-05-27,119862
2015-05-28,115994
2015-05-29,111010
2015-05-30,70072
2015-05-31,82083
2015-06-01,114573
2015-06-02,118386
2015-06-03,117797
2015-06-04,113470
2015-06-05,106905
2015-06-06,68157
2015-06-07,70324
2015-06-08,109118
2015-06-09,119671
2015-06-10,116568
2015-06-11,113706
2015-06-12,105611
2015-06-13,79184
2015-06-14,69679
2015-06-15,124093
2015-06-16,113939
2015-06-17,114980
2015-06-18,130096
2015-06-19,106666
2015-06-20,65658
2015-06-21,66931
2015-06-22,106710
2015-06-23,116283
2015-06-24,114471
2015-06-25,113022
2015-06-26,108733
2015-06-27,69637
2015-06-28,70169
2015-06-29,108148
2015-06-30,113183
2015-07-01,109736
2015-07-02,109279
2015-07-03,91945
2015-07-04,62451
2015-07-05,65459
2015-07-06,107980
2015-07-07,120210
2015-07-08,114445
2015-07-09,115670
2015-07-10,110599
2015-07-11,67884
2015-07-12,77717
2015-07-13,113295
2015-07-14,115909
2015-07-15,114055
2015-07-16,113260
2015-07-17,107923
2015-07-18,64674
2015-07-19,70156
2015-07-20,111919
2015-07-21,117808
2015-07-22,114783
2015-07-23,116078
2015-07-24,108309
2015-07-25,67354
2015-07-26,76917
2015-07-27,114839
2015-07-28,119666
2015-07-29,117900
2015-07-30,114294
2015-07-31,109829
2015-08-01,63496
2015-08-02,64521
2015-08-03,110471
2015-08-04,114837
2015-08-05,116268
2015-08-06,113384
2015-08-07,107586
2015-08-08,64498
2015-08-09,68781
2015-08-10,111936
2015-08-11,116211
2015-08-12,115440
2015-08-13,113860
2015-08-14,106714
2015-08-15,68874
2015-08-16,70714
2015-08-17,111065
2015-08-18,117767
2015-08-19,118851
2015-08-20,159524
2015-08-21,113326
2015-08-22,69485
2015-08-23,74847
2015-08-24,115938
2015-08-25,117541
2015-08-26,117650
2015-08-27,123809
2015-08-28,110076
2015-08-29,70130
2015-08-30,71873
2015-08-31,111319
2015-09-01,121781
2015-09-02,117041
2015-09-03,116090
2015-09-04,107694
2015-09-05,69615
2015-09-06,75608
2015-09-07,104372
2015-09-08,118138
2015-09-09,120096
2015-09-10,120985
2015-09-11,111521
2015-09-12,73553
2015-09-13,78909
2015-09-14,117716
2015-09-15,119965
2015-09-16,120753
2015-09-17,126482
2015-09-18,112561
2015-09-19,71140
2015-09-20,74899
2015-09-21,123459
2015-09-22,136891
2015-09-23,121183
2015-09-24,122287
2015-09-25,111701
2015-09-26,69083
2015-09-27,80636
2015-09-28,117055
2015-09-29,124970
2015-09-30,123558
2015-10-01,111655
